/groupedBy,/taskData/id,/taskData/dataname,/taskData/data
"dataName","119","leagueTable","20 Salernitana 15 26 3 6 17"
"dataName","118","leagueTable","19 Genoa 18 28 1 15 12"
"dataName","117","leagueTable","18 Venezia 22 27 5 7 15"
"dataName","116","leagueTable","17 Cagliari 25 28 5 10 13"
"dataName","115","leagueTable","16 Spezia 26 28 7 5 16"
"dataName","114","leagueTable","15 Sampdoria 26 28 7 5 16"
"dataName","113","leagueTable","14 Udinese 29 26 6 11 9"
"dataName","112","leagueTable","13 Empoli 32 28 8 8 12"
"dataName","111","leagueTable","12 Bologna 33 27 9 6 12"
"dataName","110","leagueTable","11 Torino 34 27 9 7 11"
"dataName","19","leagueTable","10 Sassuolo 39 28 10 9 9"
"dataName","18","leagueTable","9 Hellas Verona 41 28 11 8 9"
"dataName","17","leagueTable","8 Fiorentina 43 27 13 4 10"
"dataName","16","leagueTable","7 Lazio 46 28 13 7 8"
"dataName","15","leagueTable","6 Roma 47 28 14 5 9"
"dataName","14","leagueTable","5 Atalanta 47 27 13 8 6"
"dataName","13","leagueTable","4 Juventus 53 28 15 8 5"
"dataName","12","leagueTable","3 Napoli 57 28 17 6 5"
"dataName","11","leagueTable","2 Inter 58 27 17 7 3"
"dataName","10","leagueTable","1 Milan 60 28 18 6 4"
"dataName","18","articles",""
"dataName","17","articles","  09 Mar 2022\nUEFA CHAMPIONS LEAGUE\nINZAGHI: \"AN IMPRESSIVE WIN BUT WE’RE STILL DISAPPOINTED\""
"dataName","16","articles","  09 Mar 2022\nSERIE A TIM\nBOLOGNA, MEDICAL REPORT: DE SILVESTRI AND MEDEL"
"dataName","15","articles","  09 Mar 2022\nSERIE A TIM\nSERIE A TIM, THE REFEREES FOR THE 29TH ROUND"
"dataName","14","articles","  09 Mar 2022\nPRIMAVERA 1 TIMVISION\nPRIMAVERA 1 TIMVISION: MATCHWEEK 24"
"dataName","13","articles","  10 Mar 2022\nSERIE A TIM\nHAPPY BIRTHDAY TO..."
"dataName","12","articles","  10 Mar 2022\nUEFA EUROPA LEAGUE\nCOACH GASPERINI ON THE MATCH AGAINST LEVERKUSEN"
"dataName","11","articles","  10 Mar 2022\nUEFA EUROPA CONFERENCE LEAGUE\nMOURINHO NOT CONSIDERING ROTATION AS TEAM FINDS FORM"
"dataName","10","articles","  10 Mar 2022\nSERIE A TIM\nSERIE A TIM, MATCHWEEK 29 - STATS AND FACTS"
